,District,health_center_name,old_name
22,Ballari,yelubenchi(ellubenchi),Yelubenchi(Ellubenchi)
93,Belagavi,ainapur2,Ainapur 2
116,Belagavi,belawadi_b,Belawadi _B
144,Belagavi,sampagova2,Sampagova 2
161,Belagavi ,koganolli_1,Koganolli_1
164,Belagavi ,karoshi_1,Karoshi _1
184,Belagavi ,shindikurbet2,Shindikurbet 2
187,Belagavi ,yallur(3),Yallur (3)
264,Gadag ,beladabi_b,Beladabi _B
267,Gadag ,sartur_a,Sartur _A
270,Gadag ,antur_bentur,Antur_ Bentur
312,Gadag ,lakshmeshwar_c,Lakshmeshwar_ C
343,Kalaburagi ,betagera(a),Betagera(A)
684,Vijayanagara ,ramanagara2,Ramanagara 2
702,Vijayanagara ,k(u)kallalli,K(U) Kallalli
718,Vijayanagara ,mmhalli_a,M M Halli _A
814,Vijayapura,kalakeri_b,Kalakeri_ B
832,Vijayapura,nimbal_kd,Nimbal _ KD
862,Vijayapura,madikeshwarb(padekanur),Madikeshwar B(Padekanur)
888,Vijayapura,nagathanb(hunashayal),Nagathan B(Hunashayal)
904,Yadgir,gogi(k),Gogi(K)
907,Yadgir,kongandi_b,Kongandi _ B
908,Yadgir,kangondi_a,Kangondi_A
915,Yadgir,sagar2,Sagar 2
916,Yadgir,sagar1,Sagar 1
923,Yadgir,shiraval_a,SHIRAVAL_A
924,Yadgir,shiravala_b,Shiravala_B
1045,Bidar,talawada(m),Talawada (M)
1069,Bidar,khashmpur(bagdal2),Khashmpur( bagdal-2)
1073,Bidar,hokrana(b),Hokrana (b)
1082,Bidar,basavanagardhannuras2,Basavanagar Dhannura S -2
1135,Bidar,narayanpur1,Narayanpur-1
